ApplicationId,Title,Name,Gender,CareerStage,GrantType,isSalaryGrant,GrantSubType,Institution,State,BroadArea,Category,FoR,TotalAmount,GrantLength
1083942,Prof,Dale Godfrey,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Melbourne,VIC,Basic Science,IMMUNOLOGY,Cellular Immunology,604492,3
1083961,Dr,Luke Selth,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Adelaide,SA,Basic Science,ONCOLOGY AND CARCINOGENESIS,Molecular Targets,718813,3
1083964,Prof,Cameron Simmons,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Melbourne,VIC,Clinical Medicine and Science,MEDICAL MICROBIOLOGY,Medical Virology,805166.75,4
1083980,A/Pr,Ian Kerridge,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Public Health,APPLIED ETHICS,Bioethics (Human and Animal),763644,3
1084015,A/Pr,Tim Stinear,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Melbourne,VIC,Basic Science,MEDICAL MICROBIOLOGY,Medical Bacteriology,804710.5,3
1084017,Dr,Richard Saffery,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Murdoch Childrens Research Institute,VIC,Basic Science,IMMUNOLOGY,Allergy,450879.25,2
1084018,Prof,David Fairlie,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Basic Science,MEDICINAL AND BIOMOLECULAR CHEMISTRY,Proteins and Peptides,500615.5,3
1084032,Prof,Paul Colditz,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Foetal Development and Medicine,1645140.5,5
1084043,Prof,Scott Burrows,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Queensland Institute of Medical Research,QLD,Basic Science,IMMUNOLOGY,Applied Immunology (incl. Antibody Engineering Xenotransplantation and T-cell Therapies),367077,3
1084050,Prof,Adrienne Paton,female,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Adelaide,SA,Basic Science,MEDICAL MICROBIOLOGY,Medical Bacteriology,1002230,4
1084052,Prof,Tamas Zakar,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Newcastle,NSW,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Obstetrics and Gynaecology,452728.3,3
1084081,Dr,Chi Luu,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Centre for Eye Research Australia ,VIC,Clinical Medicine and Science,OPHTHALMOLOGY and OPTOMETRY,Ophthalmology,547179.7,3
1084083,Prof,David Fairlie,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Basic Science,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES,Pharmaceutical Sciences,698475,3
1084130,A/Pr,David Reid,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Queensland Institute of Medical Research,QLD,Clinical Medicine and Science,OTHER MEDICAL AND HEALTH SCIENCES,Medical and Health Sciences not elsewhere classified,629661,3
1084136,Prof,Geoffrey Farrell,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Australian National University,ACT,Clinical Medicine and Science,CLINICAL SCIENCES,Gastroenterology and Hepatology,416398,3
1084163,Dr,Jurgen Bulitta,male,Mid Career,Career Development Fellowships,TRUE,Industry CDF,Monash University,VIC,Basic Science,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES,Pharmaceutical Sciences,455452,4
1084178,Prof,Andrew Scott,male,Senior,NHMRC Research Fellowships,TRUE,Practitioner Fellowship,Ludwig Institute for Cancer Research,VIC,Clinical Medicine and Science,ONCOLOGY AND CARCINOGENESIS,Molecular Targets,472659,5
1084197,Prof,John Mathews,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Melbourne,VIC,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,721860.5,5
1084230,Dr,Carl Walkley,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,St Vincent's Institute of Medical Research,VIC,Basic Science,ONCOLOGY AND CARCINOGENESIS,Solid Tumours,648678.4,3
1084237,Dr,Anselm Enders,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Australian National University,ACT,Basic Science,IMMUNOLOGY,Cellular Immunology,569858.8,4
1084240,Dr,Sylvia Gustin,female,Early Career,NHMRC Project Grants,FALSE,New Investigator Grant,University of Sydney,NSW,Basic Science,NEUROSCIENCES,Central Nervous System,530105.5,3
1084244,A/Pr,Ian Seppelt,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Clinical Medicine and Science,CLINICAL SCIENCES,Intensive Care,3958205.6,4
1084246,Prof,Arthur Christopoulos,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Basic Science,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES,Basic Pharmacology,584154,3
1084248,A/Pr,Anne Voss,female,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Walter and Eliza Hall Institute,VIC,Basic Science,GENETICS,Gene Expression (incl. Microarray and other genome-wide approaches),772062.66,3
1084254,Dr,Flora Wong,female,Mid Career,Career Development Fellowships,TRUE,Clinical CDF,Monash University,VIC,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Paediatrics and Reproductive Medicine not elsewhere classified,205884,4
1084256,Dr,Raymond Ching-Bong Wong,male,Early Career,NHMRC Project Grants,FALSE,New Investigator Grant,Centre for Eye Research Australia ,VIC,Basic Science,OPHTHALMOLOGY and OPTOMETRY,Ophthalmology,608813,3
1084266,A/Pr,James Triccas,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Basic Science,MEDICAL MICROBIOLOGY,Medical Bacteriology,698199.5,3
1084267,Prof,Stephen Simpson,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Basic Science,NUTRITION AND DIETICS,Nutritional Physiology,725174,3
1084283,A/Pr,David Tscharke,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Australian National University,ACT,Basic Science,IMMUNOLOGY,Cellular Immunology,1114125,5
1084325,A/Pr,Sarah Medland,female,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Queensland Institute of Medical Research,QLD,Basic Science,GENETICS,Quantitative Genetics (incl. Disease and Trait Mapping Genetics),583467.9,3
1084342,A/Pr,David Tscharke,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Australian National University,ACT,Basic Science,MEDICAL MICROBIOLOGY,Medical Virology,268538.5,3
1084344,Dr,Zane Andrews,male,Mid Career,Career Development Fellowships,TRUE,RD Wright Biomedical CDF,Monash University,VIC,Basic Science,NEUROSCIENCES,Central Nervous System,455452,4
1084347,Prof,Philip Clarke,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Melbourne,VIC,Health Services,APPLIED ECONOMICS,Health Economics,492722.09,3
1084351,A/Pr,Karin Leder,female,Mid Career,Career Development Fellowships,TRUE,Population Health CDF,Monash University,VIC,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,455452,4
1084352,A/Pr,Anne Voss,female,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Walter and Eliza Hall Institute,VIC,Basic Science,GENETICS,Epigenetics (incl. Genome Methylation and Epigenomics),732400.66,3
1084376,A/Pr,Belinda Beck,female,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Griffith University,QLD,Clinical Medicine and Science,OTHER MEDICAL AND HEALTH SCIENCES,Medical and Health Sciences not elsewhere classified,919688.4,4
1084387,Prof,Jonathan Karnon,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Adelaide,SA,Health Services,APPLIED ECONOMICS,Health Economics,331398,3
1084416,Prof,Wayne Tilley,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Adelaide,SA,Basic Science,ONCOLOGY AND CARCINOGENESIS,Solid Tumours,816924,3
1084417,Dr,Beben Benyamin,NA,Mid Career,Career Development Fellowships,TRUE,RD Wright Biomedical CDF,University of Queensland,QLD,Basic Science,GENETICS,Neurogenetics,411768,4
1084429,A/Pr,Andrew Vallely,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of New South Wales,NSW,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Primary Health Care,1392335.87,4
1084454,Prof,Steven Chadban,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Clinical Medicine and Science,CLINICAL SCIENCES,Nephrology and Urology,1173486.8,5
1084460,Prof,Alastair McEwan,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Basic Science,MEDICAL MICROBIOLOGY,Medical Bacteriology,341398,3
1084462,Prof,Marie-Isabel Aguilar,NA,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiovascular medicine and Haematology nec,589154,3
1084487,Dr,Lauren May,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Basic Science,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES,Basic Pharmacology,660671.5,3
1084504,Dr,Tim Thomas,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Walter and Eliza Hall Institute,VIC,Basic Science,GENETICS,Neurogenetics,552577.5,3
1084509,Dr,Tim Thomas,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Walter and Eliza Hall Institute,VIC,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Cell Development Proliferation and Death,482577.5,3
1084531,Dr,Sherene Loi,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Melbourne,VIC,Clinical Medicine and Science,ONCOLOGY AND CARCINOGENESIS,Molecular Targets,679527.9,3
1084544,Prof,Gerald Holtmann,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Clinical Medicine and Science,CLINICAL SCIENCES,Gastroenterology and Hepatology,719479.65,4
1084560,A/Pr,George Mellick,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Griffith University,QLD,Clinical Medicine and Science,NEUROSCIENCES,Neurology and Neuromuscular Diseases,452077,3
1084580,Dr,Michaela Petter,female,Early Career,NHMRC Project Grants,FALSE,New Investigator Grant,University of Melbourne,VIC,Basic Science,MEDICAL MICROBIOLOGY,Medical Parasitology,519847,3
1084600,Prof,David Spanswick,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Basic Science,NEUROSCIENCES,Autonomic Nervous System,560526,3
1084604,Prof,David Craik,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Basic Science,MEDICINAL AND BIOMOLECULAR CHEMISTRY,Characterisation of Biological Macromolecules,663591.5,3
1084621,Prof,Roger Daly,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Signal Transduction,604154,3
1084627,A/Pr,Ross Vlahos,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Melbourne,VIC,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Respiratory Diseases,718134,3
1084648,Prof,Marie-Isabel Aguilar,NA,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Biochemistry and Cell Biology not elsewhere classified,519936.5,3
1084657,Prof,Anushka Patel,female,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),2296358.15,4
1084672,Prof,Jonathan Iredell,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Basic Science,MEDICAL MICROBIOLOGY,Medical Bacteriology,541303,3
1084693,A/Pr,Wai Lim,male,Mid Career,NHMRC Project Grants,FALSE,New Investigator Grant,University of Western Australia,WA,Clinical Medicine and Science,CLINICAL SCIENCES,Nephrology and Urology,326483.2,2
1084706,Dr,Rowena Bull,female,Mid Career,Career Development Fellowships,TRUE,RD Wright Biomedical CDF,University of New South Wales,NSW,Basic Science,MEDICAL MICROBIOLOGY,Medical Virology,411768,4
1084739,Dr,Kim Delbaere,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of New South Wales,NSW,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Preventive Medicine,763511,4
1084750,Dr,Mark Baker,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Newcastle,NSW,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Systems Biology,307077,3
1084767,Prof,Stuart Graham,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Macquarie University,NSW,Basic Science,OPHTHALMOLOGY and OPTOMETRY,Vision Science,529499.3,3
1084772,Prof,Stuart Pitson,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of South Australia,SA,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Signal Transduction,584492,3
1084775,Dr,Karen Gregory,female,Early Career,NHMRC Project Grants,FALSE,New Investigator Grant,Monash University,VIC,Basic Science,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES,Basic Pharmacology,591806.7,3
1084778,A/Pr,Gerhard Schenk,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Enzymes,377077,3
1084782,Prof,Roger Smith,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Newcastle,NSW,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Obstetrics and Gynaecology,458957.2,3
1084797,Dr,Andrew Brooks,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Receptors and Membrane Biology,919834.5,4
1084805,Prof,Francis Carbone,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Melbourne,VIC,Basic Science,IMMUNOLOGY,Applied Immunology (incl. Antibody Engineering Xenotransplantation and T-cell Therapies),566115,3
1084816,Dr,Vanessa Murphy,female,Mid Career,Career Development Fellowships,TRUE,RD Wright Biomedical CDF,University of Newcastle,NSW,Clinical Medicine and Science,CLINICAL SCIENCES,Clinical Sciences not elsewhere classified,411768,4
1084869,Prof,Arthur Kitching,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Clinical Medicine and Science,CLINICAL SCIENCES,Nephrology and Urology,893872,4
1084880,A/Pr,Michael Valenzuela,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Clinical Medicine and Science,CLINICAL SCIENCES,Psychiatry (incl. Psychotherapy),715764,4
1084889,A/Pr,Glen Ulett,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Griffith University,QLD,Basic Science,MEDICAL MICROBIOLOGY,Medical Bacteriology,392077,3
1084890,Prof,Lorna Rosenwax,female,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Curtin University of Technology,WA,Health Services,PUBLIC HEALTH AND HEALTH SERVICES,Public Health and Health Services not elsewhere classified,360298,2
1084893,A/Pr,Nikolas Haass,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Cell Biology,594492,3
1084913,Dr,Stella Bjorkman,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Foetal Development and Medicine,850890,3
1084922,Prof,Jonathan Hodgson,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Western Australia,WA,Public Health,NUTRITION AND DIETICS,Public Nutrition Intervention,584492,3
1084927,Dr,Peter Crouch,male,Mid Career,Career Development Fellowships,TRUE,RD Wright Biomedical CDF,University of Melbourne,VIC,Basic Science,NEUROSCIENCES,Neurology and Neuromuscular Diseases,455452,4
1084941,Prof,Simon Brown,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Western Australia,WA,Clinical Medicine and Science,CLINICAL SCIENCES,Emergency Medicine,401143.7,3
1084944,Prof,Peter Currie,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Basic Science,GENETICS,Developmental Genetics (incl. Sex Determination),573472,3
1084947,Prof,Peter Eastwood,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Western Australia,WA,Clinical Medicine and Science,OTHER MEDICAL AND HEALTH SCIENCES,Medical and Health Sciences not elsewhere classified,1419484.5,3
1084952,A/Pr,Meg Jardine,female,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Clinical Medicine and Science,CLINICAL SCIENCES,Nephrology and Urology,809038.1,5
1084964,Prof,Peter Leedman,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Western Australia,WA,Clinical Medicine and Science,ONCOLOGY AND CARCINOGENESIS,Cancer Therapy (excl. Chemotherapy and Radiation Therapy),678813,3
1084965,Prof,David Craik,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Structural Biology (incl. Macromolecular Modelling),1418102.5,5
1084967,Prof,Rebecca Ivers,female,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Sydney,NSW,Clinical Medicine and Science,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,1406864,4
1084990,A/Pr,Susan Nilsson,female,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Haematology,1394125,5
1084994,Dr,Moeava Tehei,NA,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Wollongong,NSW,Basic Science,NANOTECHNOLOGY,Nanomedicine,514154,3
1085014,Dr,Sarah-Jane Dawson,NA,Early Career,NHMRC Project Grants,FALSE,New Investigator Grant,University of Melbourne,VIC,Clinical Medicine and Science,ONCOLOGY AND CARCINOGENESIS,Cancer Genetics,495784.5,3
1085015,A/Pr,Mark Dawson,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Melbourne,VIC,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Therapy (excl. Chemotherapy and Radiation Therapy),736851,4
1085017,Prof,Anthony Purcell,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Basic Science,IMMUNOLOGY,Autoimmunity,722744.25,3
1085018,Prof,Anthony Purcell,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Clinical Medicine and Science,IMMUNOLOGY,Cellular Immunology,965569.25,4
1085045,Prof,Marcus Stoodley,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Macquarie University,NSW,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiovascular medicine and Haematology nec,502592.1,3
1085058,Dr,Fasseli Coulibaly,NA,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Basic Science,MEDICAL MICROBIOLOGY,Medical Virology,331398,3
1085062,A/Pr,Erica Wood,female,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Haematology,1012635,5
1085080,Prof,Jane Andrews,female,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Adelaide,SA,Clinical Medicine and Science,COMPLEMENTARY/ALTERNATIVE MEDICINE,Complementary and Alternative Medicine not elsewhere classified,675896.2,3
1085109,Prof,Anthony Penington,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Murdoch Childrens Research Institute,VIC,Clinical Medicine and Science,CLINICAL SCIENCES,Surgery,442077,3
1085130,Prof,David Evans,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Basic Science,GENETICS,Epigenetics (incl. Genome Methylation and Epigenomics),276398,3
1085142,A/Pr,Kiarash Khosrotehrani,NA,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Cell Biology,922589,3
1085143,Dr,Katie Leach,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Basic Science,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES,Basic Pharmacology,614154,3
1085151,Dr,Axel Kallies,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Walter and Eliza Hall Institute,VIC,Basic Science,IMMUNOLOGY,Cellular Immunology,721046,4
1085156,Dr,Axel Kallies,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Walter and Eliza Hall Institute,VIC,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Cell Biology,588312.5,3
1085159,Prof,David Evans,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Clinical Medicine and Science,GENETICS,Gene Expression (incl. Microarray and other genome-wide approaches),834269.5,3
1085191,Prof,Jane Visvader,female,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Walter and Eliza Hall Institute,VIC,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Cell Biology,683475,3
1085203,A/Pr,Sophia Zoungas,female,Mid Career,Career Development Fellowships,TRUE,Clinical CDF,Monash University,VIC,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Preventive Medicine,455452,4
1085221,Dr,Anna King,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Tasmania,TAS,Basic Science,NEUROSCIENCES,Cellular Nervous System,377077,3
1085240,Prof,John Hamilton,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,University of Melbourne,VIC,Basic Science,CLINICAL SCIENCES,Rheumatology and Arthritis,910084,4
1085272,A/Pr,Marcus Meinzer,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Queensland,QLD,Clinical Medicine and Science,CLINICAL SCIENCES,Rehabilitation and Therapy (excl. Physiotherapy),502131.01,4
1085302,A/Pr,Jose Polo,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Clinical Medicine and Science,MEDICAL BIOTECHNOLOGY,Regenerative Medicine (incl. Stem Cells and Tissue Engineering),763135.5,3
1085309,Prof,Alexander Loukas,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,James Cook University,QLD,Basic Science,MEDICAL MICROBIOLOGY,Medical Parasitology,742660,4
1085310,Prof,Peter Currie,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Basic Science,GENETICS,Developmental Genetics (incl. Sex Determination),445784.5,3
1085323,A/Pr,Christopher Sobey,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Basic Science,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES,Basic Pharmacology,847656,4
1085328,Dr,Hamsa Puthalakath,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,La Trobe University,VIC,Clinical Medicine and Science,BIOCHEMISTRY AND CELL BIOLOGY,Cell Development Proliferation and Death,422499.8,3
1085331,Prof,Graham Lamb,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,La Trobe University,VIC,Basic Science,MEDICAL PHYSIOLOGY,Cell Physiology,514492,3
1085340,A/Pr,Richard Callaghan,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Australian National University,ACT,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Receptors and Membrane Biology,312077,3
1085359,A/Pr,David Harrich,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Queensland Institute of Medical Research,QLD,Basic Science,MEDICAL MICROBIOLOGY,Medical Virology,1101141,4
1085364,A/Pr,Christos Karapetis,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Flinders University,SA,Clinical Medicine and Science,ONCOLOGY AND CARCINOGENESIS,Cancer Therapy (excl. Chemotherapy and Radiation Therapy),291601.25,3
1085367,Prof,Kum Kum Khanna,female,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Queensland Institute of Medical Research,QLD,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Cell Development Proliferation and Death,958728,4
1085372,A/Pr,Gavin Huttley,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Australian National University,ACT,Basic Science,GENETICS,Genomics,616687.85,3
1085403,Prof,Christopher Parish,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Australian National University,ACT,Basic Science,IMMUNOLOGY,Cellular Immunology,628813,3
1085404,Dr,Joel Pearson,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of New South Wales,NSW,Clinical Medicine and Science,PSYCHOLOGY,Health Clinical and Counselling Psychology,448484.5,4
1085410,Dr,Robyn Meech,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,Flinders University,SA,Clinical Medicine and Science,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES,Basic Pharmacology,405953.5,3
1085411,Dr,David Ziegler,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of New South Wales,NSW,Clinical Medicine and Science,ONCOLOGY AND CARCINOGENESIS,Cancer Therapy (excl. Chemotherapy and Radiation Therapy),990679.6,4
1085435,A/Pr,Caroline Gargett,female,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Monash University,VIC,Basic Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Obstetrics and Gynaecology,814711.4,4
1085450,Dr,Neil Spratt,male,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Newcastle,NSW,Basic Science,NEUROSCIENCES,Neurology and Neuromuscular Diseases,494399.7,3
1085460,Prof,Bruce Kemp,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,St Vincent's Institute of Medical Research,VIC,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Cell Metabolism,905493,5
1085461,Dr,Anneke van der Walt,female,Early Career,NHMRC Project Grants,FALSE,New Investigator Grant,University of Melbourne,VIC,Clinical Medicine and Science,NEUROSCIENCES,Central Nervous System,524893.6,5
1085483,Dr,Sarah Gordon,female,Early Career,NHMRC Project Grants,FALSE,New Investigator Grant,University of Melbourne,VIC,Basic Science,NEUROSCIENCES,Cellular Nervous System,391398,3
1085509,Dr,Di Yu,female,Mid Career,Career Development Fellowships,TRUE,RD Wright Biomedical CDF,Monash University,VIC,Basic Science,IMMUNOLOGY,Autoimmunity,455452,4
1085531,A/Pr,Peter Gibbs,male,Mid Career,NHMRC Project Grants,FALSE,Standard Project Grant,Walter and Eliza Hall Institute,VIC,Clinical Medicine and Science,ONCOLOGY AND CARCINOGENESIS,Oncology and Carcinogenesis not elsewhere classified,1180362.8,5
1085550,Dr,Elizabeth Holliday,female,Early Career,NHMRC Project Grants,FALSE,Standard Project Grant,University of Newcastle,NSW,Clinical Medicine and Science,NEUROSCIENCES,Neurology and Neuromuscular Diseases,1031670.9,4
1085596,Prof,Mark von Itzstein,male,Senior,NHMRC Project Grants,FALSE,Standard Project Grant,Griffith University,QLD,Basic Science,MEDICAL MICROBIOLOGY,Medical Virology,1030526.75,4
